x,green_min_y,green_max_y,red_min_y,red_max_y,blue_min_y,blue_max_y,magenta_min_y,magenta_max_y
53,256.0,256.0,257.0,259.0,255.0,255.0,260,261
54,256.0,256.0,257.0,257.0,255.0,255.0,258,261
55,256.0,256.0,257.0,257.5,255.0,255.0,257,261
56,256.0,256.0,257.0,258.0,255.0,255.0,259,261
57,255.0,256.0,257.0,257.0,255.0,255.0,258,261
58,254.0,256.0,257.0,257.5,255.0,255.0,257,261
59,255.0,256.0,257.0,258.0,255.0,255.0,259,261
60,256.0,256.0,257.0,258.0,255.0,255.0,259,261
61,255.0,256.0,257.0,257.0,255.0,255.0,258,261
62,254.0,256.0,257.0,257.5,255.0,255.0,257,261
63,255.0,256.0,257.0,258.0,255.0,255.0,259,261
64,256.0,256.0,257.0,258.0,255.0,255.0,259,261
65,256.0,256.0,257.0,257.0,255.0,255.0,258,261
66,255.0,256.0,257.0,257.5,255.14285714285714,255.14285714285714,257,261
67,256.0,256.0,257.0,258.0,255.28571428571428,255.28571428571428,259,261
68,256.0,256.0,257.0,257.0,255.42857142857142,255.42857142857142,258,261
69,255.0,256.0,257.0,257.5,255.57142857142858,255.57142857142858,257,261
70,256.0,256.0,257.0,258.0,255.71428571428572,255.71428571428572,259,261
71,256.0,256.0,257.0,258.0,255.85714285714286,255.85714285714286,259,261
72,256.0,256.0,257.0,257.0,256.0,256.0,258,261
73,256.0,256.0,257.0,257.5,256.0,256.0,257,261
74,256.0,256.0,257.0,258.0,256.0,256.0,259,261
75,256.0,256.0,257.0,258.0,256.0,256.0,259,261
76,256.0,256.0,257.0,257.0,256.0,256.0,258,261
77,256.0,256.0,257.0,257.5,256.0,256.0,257,261
78,255.85714285714286,255.85714285714286,257.0,258.0,256.0,256.0,259,261
79,255.71428571428572,255.71428571428572,259.0,259.5,256.0,256.0,257,261
80,255.57142857142858,255.57142857142858,261.0,261.0,255.875,255.875,256,260
81,255.42857142857142,255.42857142857142,257.0,261.0,255.75,255.75,258,260
82,255.28571428571428,255.28571428571428,256.0,261.0,255.625,255.625,258,260
83,255.14285714285714,255.14285714285714,256.0,256.0,255.5,255.5,257,260
84,255.0,255.0,256.0,256.5,255.375,255.375,256,260
85,254.85714285714286,254.85714285714286,256.0,257.0,255.25,255.25,258,260
86,254.71428571428572,254.71428571428572,256.0,256.0,255.125,255.125,257,260
87,254.57142857142858,254.57142857142858,260.0,260.0,255.0,255.0,256,259
88,254.42857142857142,254.42857142857142,260.0,260.0,254.66666666666666,254.66666666666666,255,259
89,254.28571428571428,254.28571428571428,255.0,260.0,254.33333333333334,254.33333333333334,257,259
90,254.14285714285714,254.14285714285714,255.0,260.0,254.0,254.0,256,259
91,254.0,254.0,255.0,258.0,253.83870967741936,253.83870967741936,255,259
92,253.75,253.75,255.0,256.0,253.67741935483872,253.67741935483872,257,259
93,253.5,253.5,254.0,256.0,253.51612903225808,253.51612903225808,257,259
94,253.25,253.25,254.0,255.0,253.3548387096774,253.3548387096774,256,259
95,253.0,253.0,254.0,254.0,253.19354838709677,253.19354838709677,255,259
96,253.0,253.0,254.0,256.0,253.03225806451613,253.03225806451613,257,259
97,253.0,253.0,254.0,255.0,252.8709677419355,252.8709677419355,256,259
98,253.0,253.0,254.0,254.0,252.70967741935485,252.70967741935485,255,258
99,252.0,253.0,254.0,254.5,252.5483870967742,252.5483870967742,254,258
100,253.0,253.0,254.0,255.0,252.38709677419354,252.38709677419354,256,258
